D,0.000000,0
A,0.020800,1
D,0.020800,1
D,0.020800,2
A,0.041600,2
D,0.041600,3
D,0.041600,4
A,0.042400,3
D,0.042400,5
D,0.042400,6
A,0.062400,4
D,0.062400,7
D,0.062400,8
A,0.063200,5
D,0.063200,9
D,0.063200,10
A,0.064000,6
D,0.064000,11
D,0.064000,12
A,0.064800,7
D,0.064800,13
D,0.064800,14
A,0.083200,8
D,0.083200,15
D,0.083200,16
A,0.084000,9
D,0.084000,17
D,0.084000,18
A,0.084800,10
D,0.084800,19
D,0.084800,20
A,0.085600,11
D,0.085600,21
D,0.085600,22
A,0.086400,12
D,0.086400,23
D,0.086400,24
A,0.087200,13
D,0.087200,25
D,0.087200,26
A,0.088000,14
D,0.088000,27
D,0.088000,28
A,0.088800,15
D,0.088800,29
D,0.088800,30
A,0.104000,16
D,0.104000,31
D,0.104000,32
A,0.104800,17
D,0.104800,33
D,0.104800,34
A,0.105600,18
D,0.105600,35
D,0.105600,36
A,0.106400,19
D,0.106400,37
D,0.106400,38
A,0.107200,20
D,0.107200,39
D,0.107200,40
A,0.108000,21
D,0.108000,41
D,0.108000,42
A,0.108800,22
D,0.108800,43
D,0.108800,44
A,0.109600,23
D,0.109600,45
D,0.109600,46
A,0.110400,24
D,0.110400,47
D,0.110400,48
A,0.111200,25
D,0.111200,49
D,0.111200,50
A,0.112000,26
D,0.112000,51
D,0.112000,52
A,0.112800,27
D,0.112800,53
D,0.112800,54
A,0.113600,28
D,0.113600,55
D,0.113600,56
A,0.114400,29
D,0.114400,57
D,0.114400,58
A,0.115200,30
D,0.115200,59
D,0.115200,60
A,0.116000,31
D,0.116000,61
D,0.116000,62
A,0.124800,32
D,0.124800,63
D,0.124800,64
A,0.125600,33
D,0.125600,65
D,0.125600,66
A,0.126400,34
D,0.126400,67
D,0.126400,68
A,0.127200,35
D,0.127200,69
D,0.127200,70
A,0.128000,36
D,0.128000,71
D,0.128000,72
A,0.128800,37
D,0.128800,73
D,0.128800,74
A,0.129600,38
