CWND,0.028000,1000,1
CWND,0.056000,2000,1
CWND,0.064000,3000,1
CWND,0.084000,4000,1
CWND,0.092000,5000,1
CWND,0.100000,6000,1
CWND,0.108000,7000,1
CWND,0.116000,8000,1
CWND,0.124000,9000,1
CWND,0.132000,10000,1
CWND,0.140000,11000,1
CWND,0.148000,12000,1
CWND,0.156000,13000,1
CWND,0.164000,14000,1
CWND,0.172000,15000,1
CWND,0.180000,16000,1
CWND,0.188000,17000,1
CWND,0.196000,18000,1
CWND,0.204000,19000,1
CWND,0.212000,20000,1
CWND,0.220000,21000,1
CWND,0.228000,22000,1
CWND,0.236000,23000,1
CWND,0.244000,24000,1
CWND,0.252000,25000,1
CWND,0.260000,26000,1
CWND,0.268000,27000,1
CWND,0.276000,28000,1
CWND,0.284000,29000,1
CWND,0.292000,30000,1
CWND,0.300000,31000,1
CWND,0.308000,32000,1
CWND,0.316000,33000,1
CWND,0.324000,34000,1
CWND,0.332000,35000,1
CWND,0.340000,36000,1
CWND,0.348000,37000,1
CWND,0.356000,38000,1
CWND,0.364000,39000,1
CWND,0.372000,40000,1
CWND,0.380000,41000,1
CWND,0.388000,42000,1
CWND,0.396000,43000,1
CWND,0.404000,44000,1
CWND,0.412000,45000,1
CWND,0.420000,46000,1
CWND,0.444000,1000,1
CWND,0.612000,1000,1
CWND,0.640000,2000,1
CWND,0.668000,3000,1
CWND,0.684000,4000,1
CWND,0.704000,5000,1
CWND,0.720000,6000,1
CWND,0.736000,7000,1
CWND,0.752000,8000,1
CWND,0.768000,9000,1
CWND,0.784000,10000,1
CWND,0.800000,11000,1
CWND,0.816000,12000,1
CWND,0.832000,13000,1
CWND,0.848000,14000,1
CWND,0.864000,15000,1
CWND,0.880000,16000,1
CWND,0.896000,17000,1
CWND,0.912000,18000,1
CWND,0.928000,19000,1
CWND,0.944000,20000,1
CWND,0.960000,21000,1
CWND,0.976000,22000,1
CWND,0.992000,23000,1
CWND,1.008000,24000,1
CWND,1.016000,24041,1
CWND,1.024000,24082,1
CWND,1.032000,24123,1
CWND,1.040000,24164,1
CWND,1.048000,24205,1
CWND,1.056000,24246,1
CWND,1.064000,24287,1
CWND,1.072000,24328,1
CWND,1.080000,24369,1
CWND,1.088000,24410,1
CWND,1.096000,24450,1
CWND,1.104000,24490,1
CWND,1.112000,24530,1
CWND,1.120000,24570,1
CWND,1.128000,24610,1
CWND,1.136000,24650,1
CWND,1.144000,24690,1
CWND,1.152000,24730,1
CWND,1.160000,24770,1
CWND,1.184000,1000,1
CWND,1.344000,1000,1
CWND,1.372000,2000,1
CWND,1.400000,3000,1
CWND,1.408000,4000,1
CWND,1.416000,5000,1
CWND,1.428000,6000,1
CWND,1.436000,7000,1
CWND,1.444000,8000,1
CWND,1.452000,9000,1
CWND,1.460000,10000,1
CWND,1.468000,11000,1
CWND,1.476000,12000,1
CWND,1.484000,13000,1
CWND,1.492000,13076,1
CWND,1.500000,13152,1
CWND,1.508000,13228,1
CWND,1.516000,13303,1
CWND,1.524000,13378,1
CWND,1.532000,13452,1
CWND,1.540000,13526,1
CWND,1.548000,13599,1
CWND,1.556000,13672,1
CWND,1.564000,13745,1
CWND,1.572000,13817,1
CWND,1.580000,13889,1
CWND,1.588000,13960,1
CWND,1.596000,14031,1
CWND,1.604000,1000,2
CWND,1.612000,14102,1
CWND,1.620000,14172,1
CWND,1.628000,14242,1
CWND,1.636000,14312,1
CWND,1.644000,14381,1
CWND,1.652000,14450,1
CWND,1.660000,14519,1
CWND,1.668000,14587,1
CWND,1.676000,14655,1
CWND,1.684000,14723,1
CWND,1.692000,14790,1
CWND,1.700000,14857,1
CWND,1.708000,14924,1
CWND,1.716000,14991,1
CWND,1.724000,2000,2
